x,y,z,gaussian_curvature
1.573499999999999943e+02,1.732299999999999898e+02,8.146599999999999397e+01,-1.763151358641362612e-05
2.851000000000000156e+01,1.727500000000000000e+02,6.892499999999999716e+01,9.060883001998002286e-04
7.679399999999999693e+01,2.223600000000000136e+02,6.832500000000000284e+01,4.459920130869130450e-04
5.063199999999999790e+01,1.827800000000000011e+02,6.968999999999999773e+01,4.615544915084913703e-05
2.319099999999999966e+02,2.165800000000000125e+02,6.729099999999999682e+01,7.306345105294705577e-04
1.510300000000000011e+02,2.006399999999999864e+02,7.863599999999999568e+01,9.871516293706296364e-05
1.514399999999999977e+02,1.917599999999999909e+02,7.986499999999999488e+01,6.419999217782217625e-04
8.396099999999999852e+01,2.551999999999999957e+01,6.526999999999999602e+01,2.260625657342657405e-04
6.828400000000000603e+01,2.284900000000000091e+02,6.599800000000000466e+01,7.989889082917082724e-04
1.835999999999999943e+02,1.876800000000000068e+02,8.100700000000000500e+01,3.884858271728277017e-05
2.583299999999999841e+02,2.090299999999999869e+01,6.796599999999999397e+01,1.798327480619381011e-02
2.288500000000000156e+01,7.437699999999999534e+01,6.424399999999999977e+01,2.124530223376623964e-03
2.666499999999999915e+01,1.253400000000000034e+02,6.473999999999999488e+01,4.813833650349651954e-04
2.356999999999999886e+02,1.707899999999999920e+02,6.509099999999999397e+01,8.300798607892108036e-04
7.567300000000000182e+01,1.837800000000000011e+02,7.069199999999999307e+01,1.634864734265734565e-04
1.625000000000000000e+02,1.882199999999999918e+01,7.582899999999999352e+01,3.200615991008991636e-04
8.451800000000000423e+00,1.000999999999999943e+02,6.341199999999999903e+01,1.183755735444555479e-02
2.298700000000000045e+02,1.868400000000000034e+02,6.649800000000000466e+01,-4.916988111888110767e-05
4.148499999999999943e+01,6.024700000000000166e+00,6.167099999999999937e+01,1.877364154945054819e-02
2.406999999999999886e+02,1.039399999999999977e+02,6.613800000000000523e+01,2.929312895104894932e-04
1.397199999999999989e+02,7.394100000000000250e+01,7.857999999999999829e+01,1.084251329570429592e-03
2.315600000000000023e+02,1.347199999999999989e+02,6.344299999999999784e+01,7.868516224375624079e-04
6.111699999999999733e+01,7.480700000000000216e+01,6.848799999999999955e+01,-3.109878341658341540e-04
1.314499999999999886e+02,1.484799999999999898e+02,8.129200000000000159e+01,-3.043888034965034359e-04
3.941100000000000136e+01,1.383499999999999943e+02,6.689799999999999613e+01,5.419569430269729300e-04
2.460600000000000023e+02,2.372599999999999909e+02,6.676500000000000057e+01,3.717765532767233153e-03
1.788700000000000045e+02,1.494099999999999966e+02,7.571599999999999397e+01,3.258565643356643184e-04
