x,y,z,mean_curvature
1.555599999999999916e+01,7.915800000000000125e+01,6.493999999999999773e+01,-9.070597972027971689e-03
1.760000000000000000e+02,1.161800000000000068e+02,7.526000000000000512e+01,7.341428562437562338e-03
5.160799999999999699e+01,2.049399999999999977e+02,6.730400000000000205e+01,-6.539365841158839739e-03
1.353499999999999943e+02,8.499500000000000455e+01,7.968200000000000216e+01,7.218680669330666681e-05
1.067000000000000028e+02,2.979299999999999926e+01,6.639199999999999591e+01,-2.593073124875124123e-03
1.259300000000000068e+02,4.716499999999999915e+01,7.116800000000000637e+01,-3.089548285714285251e-03
9.807800000000000296e+01,1.457400000000000091e+02,7.966899999999999693e+01,2.285955527942058058e-02
6.084100000000000108e+01,1.735099999999999909e+01,6.245700000000000074e+01,1.402510409590410458e-04
2.655500000000000114e+02,1.716599999999999966e+02,6.428000000000000114e+01,-1.991038421578421574e-03
1.681999999999999886e+02,4.972099999999999653e+01,7.882899999999999352e+01,-3.811568311688311433e-03
5.814500000000000313e+01,5.884599999999999653e+01,6.598199999999999932e+01,7.008287652347651789e-03
1.641800000000000068e+02,1.505600000000000023e+02,7.878100000000000591e+01,-3.247669540459539438e-03
9.630100000000000193e+01,6.065200000000000102e+01,6.950100000000000477e+01,-6.962761367632366860e-03
2.581200000000000045e+02,2.508499999999999943e+02,6.614100000000000534e+01,-8.835141508491507062e-03
3.715899999999999892e+01,6.540999999999999659e+01,6.581399999999999295e+01,-1.518610194505494448e-02
2.279799999999999898e+02,2.493199999999999861e+01,7.192900000000000205e+01,-1.062502301298701157e-02
1.792199999999999989e+02,2.792800000000000082e+01,7.470499999999999829e+01,-1.393660263136863205e-02
5.543200000000000216e+01,1.509799999999999898e+02,6.684499999999999886e+01,-6.573644879120878540e-03
2.505500000000000114e+02,1.980300000000000011e+02,6.558400000000000318e+01,1.123275869130869022e-03
7.966899999999999693e+01,1.702199999999999989e+02,7.256000000000000227e+01,7.368031405594413236e-04
1.834499999999999886e+02,2.219499999999999886e+02,8.173399999999999466e+01,5.509183429570429363e-02
1.998899999999999864e+02,1.767800000000000011e+02,7.691299999999999670e+01,-8.235560439560442357e-04
7.545399999999999885e+00,1.145499999999999972e+02,6.344500000000000028e+01,-4.708151770229769550e-03
1.394900000000000091e+02,2.576899999999999977e+02,7.692000000000000171e+01,-3.206079102897102431e-03
2.495300000000000011e+02,2.466299999999999955e+02,6.690099999999999625e+01,-1.089483193806193781e-02
2.641999999999999886e+02,8.114000000000000057e+01,6.848999999999999488e+01,-2.428019319180819285e-02
2.298700000000000045e+02,6.395799999999999841e+01,7.549399999999999977e+01,-1.164397359640360853e-03
1.461599999999999966e+01,6.350600000000000023e+01,6.653400000000000603e+01,-2.656225790209790737e-03
2.233600000000000136e+02,1.900000000000000000e+02,6.874299999999999500e+01,-1.552263030969030892e-02
8.881600000000000250e+01,1.917100000000000080e+02,7.218699999999999761e+01,-8.717603229770229736e-03
1.944300000000000068e+02,2.030900000000000105e+01,7.541899999999999693e+01,-1.005205359640359841e-02
1.608799999999999955e+02,2.532800000000000011e+02,7.851399999999999579e+01,-1.149079525174825228e-02
1.341399999999999864e+02,1.914900000000000091e+02,8.079699999999999704e+01,9.131189481518480963e-03
9.410299999999999443e+01,1.300600000000000023e+02,7.658199999999999363e+01,1.096542023976023687e-03
