x,y,z,gaussian_curvature
1.895999999999999943e+02,1.020000000000000000e+02,7.934499999999999886e+01,4.787893929370629054e-04
1.285999999999999943e+02,8.937800000000000011e+01,8.332699999999999818e+01,3.234814209990010108e-03
5.762100000000000222e+01,1.820900000000000034e+02,8.119599999999999795e+01,2.845466336663336477e-04
2.115699999999999932e+02,1.396899999999999977e+02,7.898000000000000398e+01,4.695589848151847162e-04
1.567599999999999909e+02,3.622399999999999665e+01,8.704900000000000659e+01,5.855755364635364252e-04
1.785800000000000125e+02,2.131299999999999955e+02,7.915000000000000568e+01,2.142425257692307482e-03
2.230300000000000011e+02,1.762000000000000099e+01,7.640800000000000125e+01,2.853541520279720151e-03
1.547199999999999989e+02,1.065499999999999936e+01,8.461899999999999977e+01,6.587164849450549350e-03
2.048699999999999832e+01,2.388499999999999943e+02,8.140000000000000568e+01,6.463712641358641906e-04
6.736700000000000443e+01,1.665800000000000125e+02,8.100600000000000023e+01,1.843428973026973051e-04
2.195500000000000114e+02,7.360200000000000387e+01,8.206600000000000250e+01,4.313964957142857153e-04
7.820199999999999818e+01,1.689799999999999898e+02,8.032800000000000296e+01,5.136503908091909340e-04
2.474699999999999989e+02,2.100500000000000114e+02,8.048600000000000421e+01,1.655402233116883351e-02
2.066500000000000057e+02,6.569499999999999673e+00,7.573099999999999454e+01,8.687562908391607830e-03
1.789499999999999886e+02,1.435300000000000011e+02,7.774200000000000443e+01,2.798215723276723183e-04
3.845000000000000284e+01,1.528500000000000014e+01,7.727100000000000080e+01,1.829626914415584740e-02
2.462500000000000000e+02,6.044900000000000162e+00,7.363400000000000034e+01,9.406911195004993495e-03
1.694199999999999875e+02,4.722699999999999676e+01,8.525600000000000023e+01,7.910513941758241145e-04
5.374200000000000088e+00,1.164800000000000040e+02,8.166599999999999682e+01,2.208575586513487031e-03
1.090699999999999932e+02,5.013400000000000034e+01,8.229900000000000659e+01,3.262158012287712325e-03
1.865500000000000114e+01,5.488000000000000256e+01,7.836100000000000421e+01,2.985011737262737710e-04
7.156600000000000250e+01,3.497200000000000131e+01,7.733700000000000330e+01,3.989962706593406724e-03
1.857199999999999989e+02,2.279399999999999977e+02,8.004099999999999682e+01,4.604730743256743391e-04
1.932700000000000173e+01,1.747599999999999909e+01,7.388800000000000523e+01,6.858010164168832495e-03
2.544399999999999977e+02,2.199099999999999966e+02,7.921999999999999886e+01,7.544692906293706293e-03
1.125199999999999960e+02,1.955000000000000000e+02,8.287199999999999989e+01,3.558101906993007212e-04
3.557800000000000296e+01,1.416399999999999864e+02,8.124299999999999500e+01,1.113633944755244544e-04
1.841500000000000057e+02,2.519199999999999875e+02,8.037600000000000477e+01,8.087599369230770094e-03
1.000200000000000067e+01,1.488499999999999943e+02,8.102400000000000091e+01,1.131364265544455502e-02
8.371699999999999875e+01,7.653499999999999659e+01,7.898999999999999488e+01,4.289839752247751980e-04
7.943999999999999773e+01,2.435699999999999932e+02,8.300600000000000023e+01,1.002325317332667179e-02
1.158199999999999932e+02,2.555099999999999909e+02,8.532899999999999352e+01,3.995449866043956043e-03
2.473499999999999943e+02,2.378199999999999932e+02,7.830700000000000216e+01,3.023256544455544333e-04
2.010800000000000125e+02,1.127999999999999936e+01,7.560299999999999443e+01,6.349429303396603164e-03
2.264600000000000080e+02,9.947700000000000387e+01,7.977599999999999625e+01,3.836635252747252621e-04
2.259900000000000091e+02,1.402299999999999898e+02,7.984199999999999875e+01,4.585058170829170074e-04
