x,y,z,gaussian_curvature
1.650500000000000114e+02,7.929999999999999716e+01,5.367399999999999949e+01,2.188169853146853519e-04
2.575400000000000205e+02,9.737000000000000455e+01,6.295100000000000051e+01,9.065421097402597212e-04
5.499000000000000199e+01,1.189800000000000040e+02,5.498799999999999955e+01,-2.207399887512487247e-04
1.003700000000000045e+02,1.169599999999999937e+02,6.145700000000000074e+01,9.341245375624374243e-04
2.288199999999999932e+02,2.340200000000000102e+02,5.909199999999999875e+01,4.461206746153845853e-03
4.413700000000000045e+01,4.687299999999999756e+01,4.991499999999999915e+01,2.293785202797203192e-04
2.309600000000000080e+02,1.820699999999999932e+02,6.193599999999999994e+01,-1.461171841958041413e-04
1.568000000000000114e+02,2.137199999999999989e+01,5.363700000000000045e+01,2.781924267832168191e-03
1.656999999999999886e+02,2.117700000000000102e+02,7.061299999999999955e+01,9.454131498501497409e-05
2.173000000000000114e+02,6.180799999999999983e+01,5.699000000000000199e+01,2.392207654345654519e-04
1.476100000000000136e+02,3.991599999999999682e+01,4.906400000000000006e+01,-1.967915746253746066e-04
1.959499999999999886e+02,1.781200000000000045e+02,6.946999999999999886e+01,-2.192905920779220324e-04
1.775399999999999920e+02,2.528000000000000114e+02,6.363400000000000034e+01,1.527235673326673168e-04
1.234300000000000068e+02,4.562400000000000233e+01,4.291199999999999903e+01,8.389713723576423202e-04
9.210800000000000409e+01,1.889499999999999886e+02,6.429800000000000182e+01,5.747219031968031980e-03
3.445600000000000218e+00,1.834799999999999898e+02,5.687100000000000222e+01,1.056679587172827152e-02
2.363299999999999912e+01,2.306200000000000045e+02,5.083599999999999852e+01,1.927022497502497230e-04
1.856699999999999875e+02,1.070000000000000000e+02,6.410699999999999932e+01,3.701852266133867273e-04
5.379699999999999704e+01,1.331199999999999939e+01,4.493800000000000239e+01,3.041521678321678929e-04
1.353799999999999955e+02,2.438199999999999932e+02,5.378900000000000148e+01,3.834557722277725253e-05
