x,y,z,mean_curvature
1.476100000000000136e+02,3.991599999999999682e+01,4.906400000000000006e+01,9.614802494405593272e-03
1.959499999999999886e+02,1.781200000000000045e+02,6.946999999999999886e+01,1.390618895104895085e-03
1.775399999999999920e+02,2.528000000000000114e+02,6.363400000000000034e+01,-5.091326588411589603e-03
1.234300000000000068e+02,4.562400000000000233e+01,4.291199999999999903e+01,-1.169798597502497498e-02
9.210800000000000409e+01,1.889499999999999886e+02,6.429800000000000182e+01,7.968665534465535494e-02
3.445600000000000218e+00,1.834799999999999898e+02,5.687100000000000222e+01,4.035004774225773791e-03
2.363299999999999912e+01,2.306200000000000045e+02,5.083599999999999852e+01,1.048321773226773210e-02
1.856699999999999875e+02,1.070000000000000000e+02,6.410699999999999932e+01,1.168698667632367752e-02
5.379699999999999704e+01,1.331199999999999939e+01,4.493800000000000239e+01,-8.124741086913087398e-03
1.353799999999999955e+02,2.438199999999999932e+02,5.378900000000000148e+01,-3.385973726273726944e-04
1.223700000000000045e+02,1.207799999999999940e+01,4.803399999999999892e+01,5.529893045954045391e-03
2.119600000000000080e+02,1.811800000000000068e+02,6.547799999999999443e+01,-7.433760463536462880e-03
2.448499999999999943e+02,2.082700000000000102e+02,5.527600000000000335e+01,-1.428513988711288540e-02
1.683700000000000045e+02,1.258700000000000045e+02,6.920999999999999375e+01,-1.057387453546453603e-02
2.685999999999999943e+00,4.625500000000000256e+01,5.525999999999999801e+01,-8.884555154845154637e-03
5.278600000000000136e+01,2.116699999999999875e+02,5.188900000000000290e+01,-2.021408742157842359e-02
1.314099999999999966e+02,2.223900000000000077e+01,4.575699999999999790e+01,-1.621544599800199896e-02
1.234500000000000028e+02,9.420900000000000318e+01,5.251200000000000045e+01,-9.997317321678321489e-03
8.316899999999999693e+01,1.305399999999999920e+02,6.574899999999999523e+01,-1.880842573426573516e-02
5.948299999999999699e+01,1.050100000000000051e+02,5.019299999999999784e+01,-2.577080083716283727e-03
3.821399999999999864e+01,1.291599999999999966e+02,5.635300000000000153e+01,-1.159619347712287536e-02
7.975300000000000011e+01,4.720700000000000074e+01,4.619500000000000028e+01,-9.864483237762237261e-03
7.491800000000000637e+01,1.848000000000000114e+02,5.816199999999999903e+01,3.111484250849150777e-03
1.779900000000000091e+02,5.017000000000000171e+01,5.232800000000000296e+01,-7.964906823176824344e-03
2.221699999999999875e+02,1.439499999999999886e+02,6.377799999999999869e+01,-2.711443669330669461e-03
1.667299999999999898e+02,9.338100000000000023e+01,5.853999999999999915e+01,-1.850826159840160282e-03
9.492499999999999716e+01,1.413700000000000045e+02,7.220099999999999341e+01,1.945513636963037279e-02
2.194000000000000057e+02,1.371100000000000136e+02,6.295300000000000296e+01,-3.863103043956045510e-03
1.342100000000000080e+02,2.360999999999999943e+02,5.435900000000000176e+01,-1.576210057842157564e-02
5.235199999999999676e+01,1.721299999999999955e+02,5.676400000000000290e+01,-2.484141578421578470e-03
1.991999999999999886e+02,9.483000000000000540e+00,5.924799999999999756e+01,-5.240800391608391867e-03
2.335300000000000011e+02,1.052999999999999972e+02,6.274199999999999733e+01,-5.503041192807193137e-03
2.620000000000000000e+02,1.774499999999999886e+02,6.096999999999999886e+01,6.445655034965034995e-03
1.714000000000000057e+02,2.914699999999999847e+01,5.336399999999999721e+01,6.334745614385615432e-03
1.208400000000000034e+02,6.363600000000000279e+01,4.342999999999999972e+01,-1.343338420279720224e-02
1.647800000000000011e+02,1.684499999999999886e+02,7.293600000000000705e+01,2.126866066233766561e-02
